input,target
Wheeler was nevertheless elected director of the Society .,Wheeler was nevertheless elected director of the Society .
"In 1950 he was awarded the Petrie Medal , and in [LINE_GAP] knighted .","In 1950 he was awarded the Petrie Medal , and in 1952 was knighted ."
"He also wrote a work of archaeological propaganda for the newly formed state , Five Thousand Years of [LINE_GAP] .","He also wrote a work of archaeological propaganda for the newly formed state , Five Thousand Years of Pakistan ( 1950 ) ."
This [WORD_GAP] p_oved to be the only one for which Wheeler would [WORD_GAP] [WORD_GAP] and publish a full excavation report .,This excavation proved to be the only one for which Wheeler would not write and publish a full excavation report .
"Instead , he ma_e reference to its findings in his bo_k The Indus Civilization , published as part of the series The Cambridge History of I_dia .","Instead , he made reference to its findings in his book The Indus Civilization , published as part of the series The Cambridge History of India ."
His relationship with the Pakistani government had become [LINE_GAP] he declined to return to work for them for a third year .,"His relationship with the Pakistani government had become strained , and so he declined to return to work for them for a third year ."
Wheeler had been keen [WORD_GAP] return to excavation in B_itain .,Wheeler had been keen to return to excavation in Britain .
"In summer 1950 , he was [LINE_GAP] Commission on Historical Monuments to direct a trial excavation at Bindon Hill in Dorset .","In summer 1950 , he was invited by the Royal Commission on Historical Monuments to direct a trial excavation at Bindon Hill in Dorset ."
It was [WORD_GAP] leisurely project which he treated as a seaside holiday .,It was a leisurely project which he treated as a seaside holiday .
"Aided by many old friends and colleagues from within the Brit_sh archaeological scene , he was joined by Alcock and Alcock 's wife , among ot_ers .","Aided by many old friends and colleagues from within the British archaeological scene , he was joined by Alcock and Alcock 's wife , among others ."
Wheeler published his repo_t on the site in 1_54 .,Wheeler published his report on the site in 1954 .
In 19_9 Wheeler was appointed Honorary Secretary of the British Academy after Frederic G.,In 1949 Wheeler was appointed Honorary Secretary of the British Academy after Frederic G.
Kenyon stepped d_wn from the position .,Kenyon stepped down from the position .
"To aid him in these [LINE_GAP] Wheeler employed a personal assistant , Molly Myers , who remained with him for the rest of his life .","To aid him in these projects , Wheeler employed a personal assistant , Molly Myers , who remained with him for the rest of his life ."
"Childe [LINE_GAP] retiring from his position of director that year , and Wheeler involved himself in the arguments surrounding who should replace him .","Childe was also retiring from his position of director that year , and Wheeler involved himself in the arguments surrounding who should replace him ."
Wheeler v_cally opposed the nomination of W.F.,Wheeler vocally opposed the nomination of W.F.
"Grim_s , deeming his career undistinguished ; instead , he [WORD_GAP] Glyn [WORD_GAP] as a can_idate [WORD_GAP] although ultimately Grimes was selected .","Grimes , deeming his career undistinguished ; instead , he championed Glyn Daniel as a candidate , although ultimately Grimes was selected ."
"That year , Wheeler [WORD_GAP] marriage broke do_n , and he moved from his wife 's house to a former brothel at 27 Whitcomb Street in central London .","That year , Wheeler 's marriage broke down , and he moved from his wife 's house to a former brothel at 27 Whitcomb Street in central London ."
"From 1964 to 1966 he served as Chairman of the Ancient Monumen_s B_ard , ste_ping down when he concluded that he was too old for the role .","From 1964 to 1966 he served as Chairman of the Ancient Monuments Board , stepping down when he concluded that he was too old for the role ."
"In December 1963 , Wheeler [WORD_GAP] [WORD_GAP] [WORD_GAP] operation that went wrong , and [WORD_GAP] hospitalised for over [WORD_GAP] month .","In December 1963 , Wheeler underwent a prostate operation that went wrong , and was hospitalised for over a month ."
"In November 1967 , Wheeler became a Companion of Honour [WORD_GAP] and in 1968 he became a Fellow of the [WORD_GAP] Society [WORD_GAP]","In November 1967 , Wheeler became a Companion of Honour , and in 1968 he became a Fellow of the Royal Society ."
"Whee_er became famous in Britain as "" the embodiment of popular archaeology through the medium of television "" .","Wheeler became famous in Britain as "" the embodiment of popular archaeology through the medium of television "" ."
"In 1952 , Wheeler was invited to be a pane_ist on the new BBC television seri_s , Ani_al , Vegetable , Mineral ?","In 1952 , Wheeler was invited to be a panelist on the new BBC television series , Animal , Vegetable , Mineral ?"
[WORD_GAP] on [WORD_G_P] American quiz programme [WORD_GAP] in the World ?,Based on the American quiz programme What in the World ?
"However , Wheeler is alleged to have prepared for the show [WORD_GAP] checking beforehand which [WORD_GAP] had [WORD_GAP] temporarily re_oved from display .","However , Wheeler is alleged to have prepared for the show by checking beforehand which objects had been temporarily removed from display ."
"The show proved popular with British audiences , and would [WORD_GAP] for six more years .","The show proved popular with British audiences , and would air for six more years ."
"It brought Wheeler to public attention , resulting in a Television Personality of the Year award [LINE_GAP] in 1954 .","It brought Wheeler to public attention , resulting in a Television Personality of the Year award for him in 1954 ."
"He also appeared in an episode of Buried Treasure , an archaeology show also hosted by Daniel , in which the pair travelled to [LINE_GAP] discuss Tollund Man .","He also appeared in an episode of Buried Treasure , an archaeology show also hosted by Daniel , in which the pair travelled to Denmark to discuss Tollund Man ."
[WORD_GAP] University [WORD_GAP] also published two of his books in 1954 .,Oxford University Press also published two of his books in 1954 .
"The first was a book on archaeological methodologies [LINE_GAP] from the Earth , which was translated into various languages .","The first was a book on archaeological methodologies , Archaeology from the Earth , which was translated into various languages ."
"The second was Rome Beyond the Imperial Frontier , discussing evidence for Roman activity at sites like Arikamedu and Segontium .","The second was Rome Beyond the Imperial Frontier , discussing evidence for Roman activity at sites like Arikamedu and Segontium ."
"He then agreed to edit a series for the publisher , known as "" New Aspects of Antiquity "" , through [LINE_GAP] released a variety of archaeological works .","He then agreed to edit a series for the publisher , known as "" New Aspects of Antiquity "" , through which they released a variety of archaeological works ."
"In 1954 , [WORD_GAP] [WORD_GAP] company R.K.","In 1954 , the tour company R.K."
"Swan invited Wheeler to provide lectures on the archaeo_ogy of ancient Greece aboard their Hellenic cruise line , which he did in 1955 .","Swan invited Wheeler to provide lectures on the archaeology of ancient Greece aboard their Hellenic cruise line , which he did in 1955 ."
"In 1957 , he then gave a guided tour of the archaeology of the Indian subcontinent for the rival tour company Fairways and Swinford .","In 1957 , he then gave a guided tour of the archaeology of the Indian subcontinent for the rival tour company Fairways and Swinford ."
"After Swans appointed him to the position of chairman [LINE_GAP] Cruise division , he made two fortnight tours a year , in spring and summer .","After Swans appointed him to the position of chairman of their Hellenic Cruise division , he made two fortnight tours a year , in spring and summer ."
"In late 1969 he conducted the Swans t_ur to the Indian subcontinent , visiting [WORD_GAP] south and east of the republic as well as Ceylon .","In late 1969 he conducted the Swans tour to the Indian subcontinent , visiting the south and east of the republic as well as Ceylon ."
Pakistan 's Ministry of Education invited Wheeler to return to t_eir country in October 1956 .,Pakistan 's Ministry of Education invited Wheeler to return to their country in October 1956 .
"Here , he undertook test excavations at Charsada to determine a chronology of [WORD_GAP] site .","Here , he undertook test excavations at Charsada to determine a chronology of the site ."
"He also agreed to sit as Chairman of the Archaeological Committee overseeing excavations at York Minster , work [LINE_GAP] the 1970s .","He also agreed to sit as Chairman of the Archaeological Committee overseeing excavations at York Minster , work which occupied him into the 1970s ."
"Wheeler had also [LINE_GAP] museums , campaigning for greater state funding for them .","Wheeler had also continued his work with museums , campaigning for greater state funding for them ."
The BBC staged a public debate with the museum [LINE_GAP] Francis .,The BBC staged a public debate with the museum director Frank Francis .
"As Honorary [WORD_GAP] of [WORD_GAP] British Academy [WORD_GAP] Wheeler focused on increasing [WORD_GAP] organisation 's [WORD_GAP] , thus enabling [WORD_GAP] [WORD_GAP] expand its remit .","As Honorary Secretary of the British Academy , Wheeler focused on increasing the organisation 's revenues , thus enabling it to expand its remit ."
"The Institute was initially established [LINE_GAP] es Salaam in 1961 , although later relocated to Nairobi .","The Institute was initially established in Dar es Salaam in 1961 , although later relocated to Nairobi ."
"In 1960 , the Treasury agreed , with the [LINE_GAP] on the premises of the University of Tehran .","In 1960 , the Treasury agreed , with the new institution being housed on the premises of the University of Tehran ."
"[WORD_GAP] further campaigned [WORD_GAP] the establishment of a British Institute in [WORD_GAP] , although these ideas were [WORD_GAP] amid the British financial crisis of 1967 .","He further campaigned for the establishment of a British Institute in Japan , although these ideas were scrapped amid the British financial crisis of 1967 ."
[LINE_GAP] proceeded to the Italian city of Rome to inspect the British School there .,In 1969 he proceeded to the Italian city of Rome to inspect the British School there .
"That year , he [LINE_GAP] of the Academy .","That year , he resigned as Honorary Secretary of the Academy ."
"The [WORD_GAP] [WORD_GAP] a salaried , [WORD_GAP] one , [WORD_GAP] the numismatist Derek Allen taking [WORD_GAP] [WORD_GAP] [WORD_GAP] [WORD_GAP]","The position became a salaried , professional one , with the numismatist Derek Allen taking on the position ."
"[WORD_GAP] involvement with UNESCO continued for the rest of his life , [WORD_GAP] in March 1973 [WORD_GAP] was invited to the organisation 's conference in Paris [WORD_GAP]","His involvement with UNESCO continued for the rest of his life , and in March 1973 he was invited to the organisation 's conference in Paris ."
"Wheeler attended the event , whose conference proceedings were published [LINE_GAP] the octogenarian .","Wheeler attended the event , whose conference proceedings were published as a festschrift for the octogenarian ."
"The episodes were well received , and Wheeler became a [LINE_GAP] of the show 's producer , David Collison .","The episodes were well received , and Wheeler became a close friend of the show 's producer , David Collison ."
"In the 1970s , Wheeler became [WORD_GAP] forgetful and c_me to rely [WORD_GAP] on his assistant [WORD_GAP] Molly Myres , to organise his affairs .","In the 1970s , Wheeler became increasingly forgetful and came to rely largely on his assistant , Molly Myres , to organise his affairs ."
After suffering a [LINE_GAP] died at Myers ' home on 22 July 1976 .,"After suffering a stroke , Wheeler died at Myers ' home on 22 July 1976 ."
"Wheeler 's funeral [WORD_GAP] [WORD_GAP] with military trappings at a [WORD_GAP] crematorium , while a larger memorial service was held in St James 's Church , Piccadilly in [WORD_GAP] .","Wheeler 's funeral was held with military trappings at a local crematorium , while a larger memorial service was held in St James 's Church , Piccadilly in November ."
"Wheeler was known as "" Rik [LINE_GAP]","Wheeler was known as "" Rik "" among friends ."
His charm offensives were oft_n condemned as b_ing insincere .,His charm offensives were often condemned as being insincere .
"During excavations , he was k_own as an authoritarian leader , but favoured those whom he thought exhibited bravery by standing up to his authority .","During excavations , he was known as an authoritarian leader , but favoured those whom he thought exhibited bravery by standing up to his authority ."
"Hence , he [LINE_GAP] a benevolent dictator "" .","Hence , he has been termed "" a benevolent dictator "" ."
"He was meticulous in his [WORD_GAP] , and would [WORD_GAP] revi_e and rewrite both [WORD_GAP] for publication and personal letters .","He was meticulous in his writings , and would repeatedly revise and rewrite both pieces for publication and personal letters ."
"Throughout his life , [WORD_GAP] was [WORD_GAP] heavy [WORD_GAP] [WORD_GAP]","Throughout his life , he was a heavy smoker ."
"Wh_eler expressed the view that he was "" the least political of mortals "" .","Wheeler expressed the view that he was "" the least political of mortals "" ."
"[WORD_GAP] , he was "" [WORD_GAP] [WORD_GAP] to advance young [WORD_GAP] professionally "" , something that [WORD_GAP] have been based largely [WORD_GAP] his sexual [WORD_GAP] [WORD_GAP] them .","Nevertheless , he was "" usually happy to advance young women professionally "" , something that may have been based largely on his sexual attraction toward them ."
He [WORD_GAP] little [WORD_GAP] in [WORD_GAP] relatives ; in later [WORD_GAP] he saw no reas_n to have a social relationship with people purely on the basis of family ties .,He expressed little interest in his relatives ; in later life he saw no reason to have a social relationship with people purely on the basis of family ties .
Whe_ler was married thr_e times .,Wheeler was married three times .
"In May 1914 , Wheeler married Tessa V_rney .","In May 1914 , Wheeler married Tessa Verney ."
"Tessa became an accomplished archaeologist , and they [WORD_GAP] until she died [WORD_GAP] [WORD_GAP] [WORD_GAP]","Tessa became an accomplished archaeologist , and they collaborated until she died in 1936 ."
"Their only child , a son [WORD_GAP] [WORD_GAP] [WORD_GAP] born in January 1915 ; he became a barrister [WORD_GAP]","Their only child , a son Michael , was born in January 1915 ; he became a barrister ."
"Meanwhile , Wheeler was well known [WORD_GA_] his conspicuous [WORD_GAP] , favouring yo_ng women for one night stands , many of whom were his students .","Meanwhile , Wheeler was well known for his conspicuous promiscuity , favouring young women for one night stands , many of whom were his students ."
[WORD_GAP] was further known [WORD_GAP] having casual [WORD_GAP] in [WORD_GAP] places .,He was further known for having casual sex in public places .
"This behaviour led [WORD_GAP] much [WORD_GAP] suffering among his various wives and mistresses , of which he was aware .","This behaviour led to much emotional suffering among his various wives and mistresses , of which he was aware ."
""" The Indian archaeologist [WORD_GAP] K.",""" The Indian archaeologist Dilip K."
"[LINE_GAP] death , H.D.","On Wheeler 's death , H.D."
"Carr described the Institute of Archaeology as "" one of the [ [LINE_GAP] most permanent memorials .","Carr described the Institute of Archaeology as "" one of the [ Wheeler ] couple 's most permanent memorials ."
"In 1960 , Ronald William Clark published [LINE_GAP] titled Sir Mortimer Wheeler .","In 1960 , Ronald William Clark published a biography titled Sir Mortimer Wheeler ."
""" In 1982 , the [WORD_GAP] Jacquetta Hawkes published a second biography , Mortimer Wheeler [WORD_GAP] Adventurer in Archaeology .",""" In 1982 , the archaeologist Jacquetta Hawkes published a second biography , Mortimer Wheeler : Adventurer in Archaeology ."
"Hawkes admitted she had developed "" a very great liking "" for Wheeler , [LINE_GAP] him when she was an archaeology student at the University of Cambridge .","Hawkes admitted she had developed "" a very great liking "" for Wheeler , having first met him when she was an archaeology student at the University of Cambridge ."
"She believed that he had "" a daemonic energy "" , with his accomplishments in India [LINE_GAP] almost superhuman "" .","She believed that he had "" a daemonic energy "" , with his accomplishments in India being "" almost superhuman "" ."
Allosaurus was originally [WORD_GAP] from material from the Upper Jurassic Morrison Formation [WORD_GAP] the western [WORD_GAP] States of America [WORD_GAP] the type species A.,Allosaurus was originally described from material from the Upper Jurassic Morrison Formation of the western United States of America ; the type species A.
"Because [LINE_GAP] scientists have noted that the type specimen , and thus the genus Allosaurus itself or at least the species A.","Because of this , several scientists have noted that the type specimen , and thus the genus Allosaurus itself or at least the species A."
"fragillis , is technically a nomen dubium ( "" dubious name "" , based on a spec_men too incomplete to compare to other specimens or to classify ) .","fragillis , is technically a nomen dubium ( "" dubious name "" , based on a specimen too incomplete to compare to other specimens or to classify ) ."
"[WORD_GAP] [WORD_GAP] [WORD_GAP] to fix this situation , Gregory S.","In an attempt to fix this situation , Gregory S."
Paul and Kenneth Carpenter ( 2010 ) submitted a petition [WORD_GAP] the ICZN [WORD_GAP] have the [WORD_GAP] A.,Paul and Kenneth Carpenter ( 2010 ) submitted a petition to the ICZN to have the name A.
fragillis officially [WORD_GAP] to the more complete specimen USNM4734 ( [WORD_GAP] a neotype ) .,fragillis officially transferred to the more complete specimen USNM4734 ( as a neotype ) .
This request is cur_ently pending review .,This request is currently pending review .
It is unclear how many species of A_losaurus there were .,It is unclear how many species of Allosaurus there were .
Eight species have been considered potentially valid si_ce 1988 ( A.,Eight species have been considered potentially valid since 1988 ( A.
"[WORD_GAP] , the type species A.","europaeus , the type species A."
"tendagurensis ) , although only about half are usually considered valid at any given ti_e .","tendagurensis ) , although only about half are usually considered valid at any given time ."
In the most recent review of basal [LINE_GAP] A.,"In the most recent review of basal tetanuran theropods , only A."
"atrox ) , "" A.","atrox ) , "" A."
"[WORD_GAP] "" ( [WORD_GAP] an unnam_d species ) , [WORD_GAP] A.","jimmadseni "" ( as an unnamed species ) , and A."
tendagurensis were accepted as potentially v_lid species [WORD_GAP] with A.,"tendagurensis were accepted as potentially valid species , with A."
[WORD_GAP] not yet [WORD_GAP] and A.,europaeus not yet proposed and A.
maximus assigned [WORD__AP] Saurophaganax .,maximus assigned to Saurophaganax .
fragilis is the type [WORD_GAP] and was named by [WORD_GAP] in 1877 .,fragilis is the type species and was named by Marsh in 1877 .
Details of the humerus [LINE_GAP] of A.,Details of the humerus ( upper arm ) of A.
"fragilis have [WORD_GAP] used [WORD_GAP] diagnostic among Morrison theropods , but the discovery of "" A.","fragilis have been used as diagnostic among Morrison theropods , but the discovery of "" A."
"jimmadseni "" [WORD_GAP] that this [WORD_GAP] [WORD_GAP] longer be the case at the species level .","jimmadseni "" indicates that this will no longer be the case at the species level ."
amplexus was na_ed by [WOR__GAP] S.,amplexus was named by Gregory S.
"[WORD_GAP] [WORD_GAP] giant Morrison allosaur remains , and [WORD_GAP] in his conception Saurophagus maximus ( later Saurophaganax ) [WORD_GAP]","Paul for giant Morrison allosaur remains , and included in his conception Saurophagus maximus ( later Saurophaganax ) ."
"Following Paul 's work , this species has been accepted [LINE_GAP] synonym of A.","Following Paul 's work , this species has been accepted as a synonym of A."
This specimen was [WORD_GAP] to A.,This specimen was assigned to A.
It differs from other speci_s of Allosaurus [WORD_GAP] cranial details [WORD_GAP],It differs from other species of Allosaurus in cranial details .
However [WORD_GAP] more [WORD_GAP] may show it [WORD_GAP] be A.,"However , more material may show it to be A."
[LINE_GAP] described .,"fragilis , as originally described ."
"[LINE_GAP] on Morrison allosaurid remains has been responsible , directly or indirectly , for "" A.","Daniel Chure 's work on Morrison allosaurid remains has been responsible , directly or indirectly , for "" A."
"jimmadseni "" is the proposed [WORD_GAP] [WORD_GAP] a new species of Morrison [WORD_GAP] , based on a nearly complete skeleton and skull .","jimmadseni "" is the proposed name for a new species of Morrison allosaur , based on a nearly complete skeleton and skull ."
"2 , as it is a_so known , differs from A.","2 , as it is also known , differs from A."
fragilis only present in the hig_er Brushy Basin Member .,fragilis only present in the higher Brushy Basin Member .
maximus was coined [WORD_GAP] David K.,maximus was coined by David K.
"Smith for Chure 's Saurophaganax maximus , a taxon created by Chure in 1995 for giant allosaurid remains from the Morrison of [WORD_GAP] .","Smith for Chure 's Saurophaganax maximus , a taxon created by Chure in 1995 for giant allosaurid remains from the Morrison of Oklahoma ."
"Th_se remains had be_n known as Saurophagus , but that na_e was alr_ady [WORD_GAP] use , lea_ing C_ure to propose a substitute .","These remains had been known as Saurophagus , but that name was already in use , leading Chure to propose a substitute ."
"Smith , in his 19_8 analysis of va_iation , concluded that S.","Smith , in his 1998 analysis of variation , concluded that S."
"maximus was not dif_erent enough from Allosaurus to be a separate genus , [WORD_GAP] did warrant its own sp_cies , A.","maximus was not different enough from Allosaurus to be a separate genus , but did warrant its own species , A."
This reassignment was [WORD_GAP] in the most recent [WORD_GAP] of [WORD_GAP] tetanurans .,This reassignment was rejected in the most recent review of basal tetanurans .
The perception that there were two common A_losaurus species in the Mo_rison Formation was popularized in Gregory S.,The perception that there were two common Allosaurus species in the Morrison Formation was popularized in Gregory S.
Paul 's 1988 book Predatory Dinosaurs of [WORD_GAP] World .,Paul 's 1988 book Predatory Dinosaurs of the World .
fragilis had tall poi_ted h_rns and a slender build compared to a postulated [WORD_GAP] species A.,fragilis had tall pointed horns and a slender build compared to a postulated second species A.
"[WORD_GAP] , and was not a different [WORD_GAP] [WORD_GAP] to rarity .","atrox , and was not a different gender due to rarity ."
"jimmadseni "" based on the [WORD_GAP] of the [WORD_GAP] .","jimmadseni "" based on the shape of the jugal ."
"[WORD_GAP] number of species assigned to Allosaurus are no longer recognized as valid , for one reas_n or another .","A number of species assigned to Allosaurus are no longer recognized as valid , for one reason or another ."
"agilis "" , seen in Zittel [LINE_GAP] and Osborn , 1912 , is a typographical error for A.","agilis "" , seen in Zittel , 1887 , and Osborn , 1912 , is a typographical error for A."
"lucaris , another [WORD_GAP] name , was [WORD_GAP] [WORD_GAP] a partial skeleton in 1878 .","lucaris , another Marsh name , was given to a partial skeleton in 1878 ."
"He later decided it warranted its own g_nus , Labrosaurus , but this has not been accepted , and A.","He later decided it warranted its own genus , Labrosaurus , but this has not been accepted , and A."
lucaris is also regarded [LINE_GAP] of A.,lucaris is also regarded as another specimen of A.
"Allosaurus lucaris , is known mostly from vertebrae , s_aring characters with Allosaurus .","Allosaurus lucaris , is known mostly from vertebrae , sharing characters with Allosaurus ."
"Paul and Carpenter stated th_t the type specimen of th_s species , YPM 1931 , was from a younger age than Allosaurus , and might represent a different gen_s .","Paul and Carpenter stated that the type specimen of this species , YPM 1931 , was from a younger age than Allosaurus , and might represent a different genus ."
"However , they found that the specimen was undiagnostic , [WORD_GAP] thus A.","However , they found that the specimen was undiagnostic , and thus A."
lucaris was [LINE_GAP] dubium .,lucaris was a nomen dubium .
"whitei "" , an informally described species coined by Pickering in 1996 , is a re_asting of [WORD_GAP] A.","whitei "" , an informally described species coined by Pickering in 1996 , is a recasting of the A."
fragilis debate using a bet_er [_ORD_GAP] to represent the A.,fragilis debate using a better specimen to represent the A.
"[LINE_GAP] , and has not been recognized .","atrox form , and has not been recognized ."
Several species coined in genera other than Allosaurus are also now thought to be synonymous wi_h A.,Several species coined in genera other than Allosaurus are also now thought to be synonymous with A.
It is recogniz_d [WORD_GAP] most likely a specimen of A.,It is recognized as most likely a specimen of A.
Apatodon mirus [WORD_GAP] b_sed on a scrap of vertebra Marsh first thought to be a mammalian jaw [WORD_GAP] may or may not be the same as [WORD_GAP] .,"Apatodon mirus , based on a scrap of vertebra Marsh first thought to be a mammalian jaw , may or may not be the same as Allosaurus ."
Several species initially classified within or referred to [LINE_GAP] within the genus .,Several species initially classified within or referred to Allosaurus do not belong within the genus .
"Gilmore considered the tooth nondiagnostic but [WORD_GAP] it to [WORD_GAP] new species , Dryptosaurus medius [WORD_GAP]","Gilmore considered the tooth nondiagnostic but transferred it to a new species , Dryptosaurus medius ."
"The referral was not accepted in the most [WORD_GAP] [WORD_GAP] , and Allosaurus medius was simply listed as a [WORD_GAP] [WORD_GAP] of theropod .","The referral was not accepted in the most recent review , and Allosaurus medius was simply listed as a dubious species of theropod ."
Allosaurus sibiricus was described [WORD_GAP] [WORD_GAP] by A.,Allosaurus sibiricus was described in 1914 by A.
"Riabinin [WORD_GAP] the [WORD_GAP] of a bone , later identified as a partial [WORD_GAP] metatarsal , from the Early Cretaceous [WORD_GAP] Buryatia [WORD_GAP] Russia .","Riabinin on the basis of a bone , later identified as a partial fourth metatarsal , from the Early Cretaceous of Buryatia , Russia ."
[WORD_GAP] [WORD_GAP] transferred to [WORD_GAP] [WORD_GAP] 1990 .,It was transferred to Chilantaisaurus in 1990 .
"Allosaurus meriani was [LINE_GAP] by Greppin as a species of Megalosaurus , based on a tooth from the Late Jurassic of Switzerland .","Allosaurus meriani was described in 1870 by Greppin as a species of Megalosaurus , based on a tooth from the Late Jurassic of Switzerland ."
"It has occasionally been referred to Allosaurus , but recent reviews have listed it as dubious theropod species Megalosaurus meriani , or included [LINE_GAP] Ceratosaurus sp .","It has occasionally been referred to Allosaurus , but recent reviews have listed it as dubious theropod species Megalosaurus meriani , or included it in Ceratosaurus sp ."
"With the synonymization of Labrosaurus and Allosaurus , Donald [WORD_GAP]","With the synonymization of Labrosaurus and Allosaurus , Donald F."
"Glut l_sted it as a species of Allosaurus , but it is now either assigned to Ceratosaurus sp.","Glut listed it as a species of Allosaurus , but it is now either assigned to Ceratosaurus sp."
or considered a dubious [WO_D_GAP] .,or considered a dubious ceratosaurian .
There are also several species left over from the synonymizations of Creosaurus and Labrosaurus with Allos_urus .,There are also several species left over from the synonymizations of Creosaurus and Labrosaurus with Allosaurus .
[LINE_GAP] was named by Lull in 1911 for a vertebra from the Early Cretaceous of Maryland .,Creosaurus potens was named by Lull in 1911 for a vertebra from the Early Cretaceous of Maryland .
It is now regarded as [LINE_GAP] .,It is now regarded as a dubious theropod .
Labrosaurus fragilis is a typographical error by Marsh [WORD_GAP] 1896 ) for [WORD_GAP] ferox .,Labrosaurus fragilis is a typographical error by Marsh ( 1896 ) for Labrosaurus ferox .
"sulcatus , named by Marsh [WORD_GAP] [WORD_GAP] for a [WORD_GAP] theropod tooth , which like [WORD_GAP]","sulcatus , named by Marsh in 1896 for a Morrison theropod tooth , which like L."
stechowi is now regarded as [WORD_GAP] Ceratosaurus [WORD_GAP],stechowi is now regarded as either Ceratosaurus sp.
[WORD_GAP] a dubious ceratosaur_an .,or a dubious ceratosaurian .
"This species [WORD_GAP] [WORD_GAP] had strong [WORD_GAP] in recent years [WORD_GAP] with opinions on its identity ranging from a [WORD_GAP] valid species of Allosaurus , [WORD_GAP] a basal tetanuran .","This species has not had strong support in recent years , with opinions on its identity ranging from a tentatively valid species of Allosaurus , to a basal tetanuran ."
The [LINE_GAP] placed it in Carcharodontosauridae .,The most recent analysis has placed it in Carcharodontosauridae .
Kurzanov and colleagues in 2003 designated six teeth from Siberia as Allosaurus sp .,Kurzanov and colleagues in 2003 designated six teeth from Siberia as Allosaurus sp .
"( meaning the authors found the [WORD_GAP] to be mo_t like those of Allosaurus , but did not or could not assign a species ) .","( meaning the authors found the specimens to be most like those of Allosaurus , but did not or could not assign a species ) ."
"Also , reports of Allosaurus in Shanxi [WORD_GAP] China go back to at [WORD_GAP] 1982 .","Also , reports of Allosaurus in Shanxi , China go back to at least 1982 ."
"An [WORD_GAP] ( ankle bone [WORD_GAP] thought to belong to a species of [WORD_GAP] was found at Cape [WORD_GAP] , [WORD_GAP] in Early [WORD_GAP] [WORD_GAP] in [WORD_GAP] Australia .","An astragalus ( ankle bone ) thought to belong to a species of Allosaurus was found at Cape Paterson , Victoria in Early Cretaceous beds in southeastern Australia ."
It was tho_ght to provide evidence [WORD_GAP] Australia was a refugium for animals that had gone extinct elsewhere .,It was thought to provide evidence that Australia was a refugium for animals that had gone extinct elsewhere .
"This identification was challenged by Samuel Welles , who thought it more resembled that of an ornithomimid , but the original a_thors defended their [WORD_GAP] .","This identification was challenged by Samuel Welles , who thought it more resembled that of an ornithomimid , but the original authors defended their identification ."
"Similarly , Yoichi Azuma [WORD_GAP] [WORD_GAP] [WORD_GAP] [WORD_GAP] in their description of Fukuiraptor , [WORD_GAP] that the bone closely resembled that of [WORD_GAP] new genus [WORD_GAP]","Similarly , Yoichi Azuma and Phil Currie , in their description of Fukuiraptor , noted that the bone closely resembled that of their new genus ."
"This specimen is sometimes referred to as [WORD_GAP] Allosaurus robustus "" , an informal museum name .","This specimen is sometimes referred to as "" Allosaurus robustus "" , an informal museum name ."
"It may have belonged to something similar [WORD_GA_] , or the same as , Austra_ovenator , or it may represent an abelisaur .","It may have belonged to something similar to , or the same as , Australovenator , or it may represent an abelisaur ."
"A speculative "" polar "" or "" dwarf al_osaur "" was used for the "" Spirits of the Ice Forest "" episode of Walking with Dinosaurs .","A speculative "" polar "" or "" dwarf allosaur "" was used for the "" Spirits of the Ice Forest "" episode of Walking with Dinosaurs ."
"Astraeus hygrometricus , commonly known as the hygroscopic earthstar , the barometer earthstar , or the false earthstar , is a species of fu_gus in the Diplocystaceae family .","Astraeus hygrometricus , commonly known as the hygroscopic earthstar , the barometer earthstar , or the false earthstar , is a species of fungus in the Diplocystaceae family ."
Young specimens resemble a puffball w_en young and unopened .,Young specimens resemble a puffball when young and unopened .
"The false earthstar is [WORD_GAP] ectomycorrhizal species that grows in association with various trees , especially in s_ndy soils .","The false earthstar is an ectomycorrhizal species that grows in association with various trees , especially in sandy soils ."
"hygrometricus has a cosmopolitan dis_ribution , and is common in temperate and tropical regions .","hygrometricus has a cosmopolitan distribution , and is common in temperate and tropical regions ."
"The rays have an [WORD_GAP] cracked [WORD_GAP] , [WORD_GAP] the s_ore case is pale [WORD_GAP] and smooth with [WORD_GAP] irregular [WORD_GAP] or [WORD_GAP] at the [WORD_GAP] .","The rays have an irregularly cracked surface , while the spore case is pale brown and smooth with an irregular slit or tear at the top ."
"The g_eba is white initially , but turns brown and pow_ery when the spores mature .","The gleba is white initially , but turns brown and powdery when the spores mature ."
Despite a [LINE_GAP] A.,"Despite a similar overall appearance , A."
"hygrometr_cus is not related to the true ea_thstars of [WORD_GAP] Geastrum , although historically , they h_ve been taxono_ically con_used [WORD_GAP]","hygrometricus is not related to the true earthstars of genus Geastrum , although historically , they have been taxonomically confused ."
The species was first described by Christiaan Hendrik Persoon in [LINE_GAP] Geastrum hygrometricus .,The species was first described by Christiaan Hendrik Persoon in 1801 as Geastrum hygrometricus .
"In [WORD_GAP] , Andrew P.","In 1885 , Andrew P."
Morgan proposed that differences in mic_oscopic characteristics warranted the cre_tion of a new genus Astraeus distinct from Geastrum ; this opinion was not universally accepted by later authorities .,Morgan proposed that differences in microscopic characteristics warranted the creation of a new genus Astraeus distinct from Geastrum ; this opinion was not universally accepted by later authorities .
Seve_al Asian populations formerly thought to be A.,Several Asian populations formerly thought to be A.
